name,strategy,planner,rep,ok,checked,fallback,pre_fb,home_fb,t,jl,cl,n,bad,bad_pairs,frac,jl_pre,jl_app,jl_home,plan_calls,plan_fail,plan_t,method
fruit_r0_p2_t0_f0,naive,RRTConnect,0,True,False,False,False,False,0.3971385955810547,4.8637423481011615,2.2181373796285015,84,8,rg2_leftfinger|rachis_r0_p2_t1×8,,2.431871174050581,0.0,2.4318711740505803,0,0,0.0,naive/관절보간 40점 (회피 없음)
fruit_r0_p2_t0_f0,naive,RRTConnect,1,True,False,False,False,False,0.40549325942993164,4.863740320805304,2.218137498814415,84,8,rg2_leftfinger|rachis_r0_p2_t1×8,,2.4318701604026525,0.0,2.4318701604026516,0,0,0.0,naive/관절보간 40점 (회피 없음)
fruit_r0_p2_t1_f0,harvest_linear,RRTConnect,0,True,True,False,False,False,1.758192777633667,3.5544625330455863,1.8755812757306154,36,0,,1.0,1.3533584444255529,0.42393223151918,1.3532396255816737,2,0,0.10517621040344238,cartesian(frac=1.00)
fruit_r0_p2_t1_f0,harvest_linear,RRTConnect,1,True,True,False,False,False,1.7712912559509277,3.55314782756982,1.8767168844474091,36,0,,1.0,1.352091226959453,0.42393223151918,1.3531921375720068,2,0,0.11377692222595215,cartesian(frac=1.00)
fruit_r0_p2_t1_f0,frontal,RRTConnect,0,True,False,False,False,False,0.41359686851501465,8.213010206015381,2.220843605160323,98,0,,,3.5482652593030704,0.5582398437046205,3.54826525930307,0,0,0.0,frontal/거터법선 직선진입 13cm fraction=1.00 (회피 없음)
fruit_r0_p2_t1_f0,frontal,RRTConnect,1,True,False,False,False,False,0.3719768524169922,6.758913839473969,1.841363618397565,98,0,,,2.8519751922096055,0.5274817275273794,2.851975192209605,0,0,0.0,frontal/거터법선 직선진입 13cm fraction=1.00 (회피 없음)
fruit_r0_p2_t1_f0,naive,RRTConnect,0,True,False,False,False,False,0.3856348991394043,8.531724111072668,2.75686098663374,84,14,stem_r0_p2_s1|grasped_fruit_r0_p2_t1_f0×10;rg2_leftfinger|stem_r0_p2_s1×4,,4.265862055536334,0.0,4.265862055536334,0,0,0.0,naive/관절보간 40점 (회피 없음)
fruit_r0_p2_t1_f0,naive,RRTConnect,1,True,False,False,False,False,0.3640117645263672,3.75782498850821,1.866249503507321,84,0,,,1.8789124942541044,0.0,1.8789124942541051,0,0,0.0,naive/관절보간 40점 (회피 없음)
fruit_r0_p3_t1_f0,harvest_linear,RRTConnect,0,True,True,False,False,False,2.4752960205078125,3.869341833237166,2.1663388665947307,40,0,,1.0,1.521026198472176,0.4136124001978493,1.5210908343692913,2,0,0.11221098899841309,cartesian(frac=1.00)
fruit_r0_p3_t1_f0,harvest_linear,RRTConnect,1,True,True,False,False,False,2.5084283351898193,3.868496488990883,2.16451212755448,40,0,,1.0,1.5207144025092627,0.4136124001978493,1.5205572860859216,2,0,0.08305120468139648,cartesian(frac=1.00)
